,Seed,Time,Fastest,Slowest,F_input,S_input,Total_running_time
332,30527,1e-06,0.000000,0.000001,77090930611,0,5.135817766189575
333,30528,1e-06,0.000000,0.000001,33874093598720,1646425550840102,5.51531982421875
334,30529,2e-06,0.000000,0.000002,0,1,5.175302505493164
335,30530,1e-06,0.000000,0.000001,0,-1,5.358169317245483
336,30531,1e-06,0.000000,0.000001,-1,0,5.732553243637085
337,30532,1e-06,0.000000,0.000001,576460752303423489,-48,4.929792404174805
338,30533,0.0,0.000000,0.000000,-20588,1567491,5.109453916549683
339,30534,1e-06,0.000000,0.000001,-1526177138,-375997792327303167,5.8161046504974365
340,30535,1e-06,0.000000,0.000001,1537949693768948,-1,5.734041929244995
341,30538,1e-06,0.000000,0.000001,-32430262884785976,-58656305746,5.2658445835113525
342,30539,1e-06,0.000000,0.000001,-274226367,4017846873990,5.619437217712402
343,30540,1e-06,0.000000,0.000001,1,-1,5.457547426223755
344,30542,1e-06,0.000000,0.000001,-1,-3391002191334465,5.7336015701293945
345,30543,1e-06,0.000000,0.000001,40956574703509,-1,5.831178426742554
346,30544,1e-06,0.000000,0.000001,1,-218999668619,4.806743144989014
347,30545,1e-06,0.000000,0.000001,-52072540828,-3264,4.977736711502075
348,30546,1e-06,0.000000,0.000001,49027890,2882303761517117439,5.256739854812622
349,30548,2e-06,0.000000,0.000002,-438177453503372,0,4.111994981765747
350,30549,0.0,0.000000,0.000000,79,82963462505610,5.769383192062378
351,30552,1e-06,0.000000,0.000001,-2756139128985,740842138702446594,5.73424768447876
352,30553,1e-06,0.000000,0.000001,-1,77819849311017,5.527336120605469
353,30554,1e-06,0.000000,0.000001,10162076263964311,2305843009213693951,5.6299614906311035
354,30556,1e-06,0.000000,0.000001,159809605206016,-1012032402,5.776306867599487
355,30558,1e-06,0.000000,0.000001,0,-1,5.059647560119629
356,30561,0.0,0.000000,0.000000,2453020167969,-3458764513820540926,5.458818435668945
357,30563,1e-06,0.000000,0.000001,0,3996944669291315203,5.7018537521362305
358,30564,1e-06,0.000000,0.000001,-6712148585300361272,0,5.810147762298584
359,30565,1e-06,0.000000,0.000001,39334889231392,0,5.171367168426514
360,30568,2e-06,0.000000,0.000002,-14764,42209747,5.170767068862915
361,30569,0.0,0.000000,0.000000,0,39599,5.104122161865234
362,30570,1e-06,0.000000,0.000001,2114,-49313079827,5.356395483016968
363,30571,1e-06,0.000000,0.000001,43873857248151,0,5.729973554611206
364,30572,1e-06,0.000000,0.000001,0,-2702159776422297597,5.406077146530151
365,30573,0.0,0.000000,0.000000,1,0,5.3471245765686035
366,30577,3e-06,0.000000,0.000003,-17,147234201,4.710253000259399
367,30578,1e-06,0.000000,0.000001,13005296,3170534137668829183,5.769396543502808
368,30581,1e-06,0.000000,0.000001,0,-2725673962433,5.236074686050415
