,Seed,Errors
139,206,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 6 (23-25): typing error: can not implicitly cast U16 into U64
"
140,208,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 6 (23-25): typing error: can not implicitly cast U16 into U64
"
141,209,"Register allocation: no register bank for type bool
"
142,211,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Register allocation: no register bank for type bool
"
143,212,"Register allocation: no register bank for type bool
"
144,213,"Register allocation: no register bank for type bool
"
145,214,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
146,217,"Register allocation: no register bank for type int
"
147,220,"Register allocation at line line 13: variable v4.151 must be allocated to conflicting register ZF.78
"
148,222,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
149,223,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
150,224,"Register allocation: no register bank for type int
"
151,225,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 10 (23-25): typing error: can not implicitly cast U16 into U64
"
152,227,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
153,228,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 9 (8-10): variable v4.92 is an array (function return)
"
154,230,"compilation error in functions f0 and f0 at position line 7: assembler error Invalid pexpr for word
PLEASE REPORT
"
155,231,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 20 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
156,232,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
157,233,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (0-12): parse error
"
158,234,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (38-39): parse error
"
159,235,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (0-12): parse error
"
