,Seed,Errors,Size,Safe
541,541,"['Fatal error: exception Failure(""Environment.dim_of_var: unknown variable in the environment"")']",18,True
542,542,[],20,False
543,543,[],18,True
544,544,[],18,True
545,545,[],9,True
546,546,[],18,True
547,547,[],18,False
548,548,[],20,False
549,549,[],23,True
550,550,[],18,True
551,551,[],6,True
552,552,[],8,True
553,553,[],8,True
554,554,[],6,True
555,555,[],6,True
556,556,"[0, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 27 (1-17), variables result and b1 will be merged to v0']",33,False
557,557,[],22,False
558,558,[],25,True
559,559,[],30,True
560,560,[],18,True
561,561,[],6,True
562,562,"[0, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0']",18,True
563,563,"[0, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0']",17,True
564,564,[],18,True
565,565,[],18,True
566,566,[],18,True
567,567,[],6,True
568,568,[],18,True
569,569,[],18,True
570,570,[],18,True
571,571,[],8,True
572,572,[],18,True
573,573,[],13,False
574,574,[],8,True
575,575,[],8,True
576,576,[],6,True
577,577,"[1, 2]",11,False
578,578,"[1, 2]",17,True
579,579,[],18,True
580,580,[],11,True
581,581,"['Fatal error: exception File ""src/safety.ml"", line 3550, characters 16-22: Assertion failed']",18,True
582,582,"[6, 'Fatal error: exception File ""src/safety.ml"", line 3550, characters 16-22: Assertion failed']",20,True
583,583,[],15,True
584,584,[],21,True
585,585,[],18,True
586,586,[],18,True
587,587,[],18,True
588,588,[],17,True
589,589,[],8,True
590,590,[],18,True
591,591,[],18,True
592,592,[],22,True
593,593,[],18,True
594,594,[],18,True
595,595,[],18,True
596,596,[],11,True
597,597,[],11,True
598,598,"[0, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0']",18,True
599,599,"[0, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0', 'Fatal error: exception File ""src/safety.ml"", line 3550, characters 16-22: Assertion failed']",18,True
600,600,[],18,False
601,601,[],25,True
602,602,"['Fatal error: exception Failure(""Environment.dim_of_var: unknown variable in the environment"")']",23,True
603,603,[],18,False
604,604,[],18,True
605,605,[],8,False
606,606,[],26,False
607,607,[],24,False
608,608,[],18,True
609,609,[],18,True
610,610,[],22,True
611,611,[],21,False
612,612,[],17,True
613,613,[],6,True
614,614,"['Fatal error: exception Failure(""Environment.dim_of_var: unknown variable in the environment"")']",26,True
615,615,[],12,False
616,616,[],18,True
617,617,[],18,True
618,618,[],6,True
619,619,"[11, '/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 7 (23-25): typing error: can not implicitly cast U32 into U64']",23,True
620,620,"[0, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 17 (1-17), variables result and b1 will be merged to v0']",22,True
621,621,[],18,True
622,622,"['Fatal error: exception File ""src/safety.ml"", line 3550, characters 16-22: Assertion failed']",18,True
623,623,"[6, 'Fatal error: exception File ""src/safety.ml"", line 3550, characters 16-22: Assertion failed']",20,True
624,624,[],22,True
625,625,"['Fatal error: exception Failure(""Environment.dim_of_var: unknown variable in the environment"")']",23,True
626,626,[],18,True
627,627,[],14,False
